intent,document
외로움,울적하단 말이야.
외로움,울적했어요.
외로움,계속 울적한 기분이 들어.
외로움,울적하네요.
외로움,가끔 울적하더라고.
외로움,울적할 때가 있어.
외로움,혼자 있을 땐 좀 울적해요.
외로움,가만히 있으면 울적해져.
외로움,울적해졌어.
외로움,울적할 때가 많아요.
외로움,고단하네
외로움,삶이 고단해
외로움,왜 이렇게 고단하지?
외로움,너무 고단해.
외로움,몸도 마음도 고단해요.
외로움,고단하다.
외로움,고단하군요.
외로움,한 것도 없는데 너무 고단해.
외로움,고단함이 느껴져.
외로움,너무 피곤해.
외로움,피곤하다.
외로움,피곤해서 미치겠어.
외로움,인생이 고단하게 느껴져요.
외로움,고단할 때가 많아요.
외로움,고단해.
외로움,고단하네요.
외로움,몸이 고단해.
외로움,마음이 고단해.
외로움,고단한 기분이야.
외로움,고단함.
외로움,외톨이가 된 느낌이야
외로움,홀로 세상에 떨어진 느낌이 들어
외로움,이 세상에 나 혼자 있는 것 같아
외로움,세상에 나만 혼자야.
외로움,혼자인 기분이 들어.
외로움,내 편이 없는 것 같아.
외로움,내 곁에 아무도 없는 것 같아요.
외로움,외톨이 같아.
외로움,외톨이처럼 느껴져.
외로움,세상에 나 혼자인 기분이야.
외로움,나만 혼자인 것 같아요.
외로움,아무도 내 마음을 몰라주는 것 같아.
외로움,주변에 아무도 없는 것 같아요.
외로움,나 혼자인 기분이야.
외로움,외톨이야.
외로움,나만 혼자야.
외로움,나만 빼고 다 즐거워 보여요.
외로움,왜 나만 혼자인 것 같지?
외로움,아무도 없어.
외로움,옆에 아무도 없는 것처럼 느껴져.
외로움,고독감마저 느껴져
외로움,고독한 기분이 드네 
외로움,고독감이 들어.
외로움,고독해요.
외로움,고독하네요.
외로움,고독감이 느껴져.
외로움,고독하다.
외로움,지독하게 고독해.
외로움,마음이 너무 고독해.
외로움,요즘 너무 고독해.
외로움,고독하군요.
외로움,고독하단 말이야.
외로움,고독했어요.
외로움,너무 고독해.
외로움,지독한 고독감이 느껴져.
외로움,인생이 고독하게 느껴지네요.
외로움,고독해.
외로움,왜 이렇게 고독한 건지.
외로움,고독한 마음이 들어요.
외로움,삶이 너무 고독한 것 같아.
외로움,겉돌고 있어
외로움,어울리지 못하고 겉도는 기분이야
외로움,겉도는 느낌이야.
외로움,나만 따로 노는 기분이야.
외로움,나만 동 떨어져 있는 기분이야.
외로움,나만 동 떨어져 있는 것 같아.
외로움,나만 겉도는 느낌이야.
외로움,겉도는 기분이 들어.
외로움,섞이지 못하는 느낌이 있어요.
외로움,섞이지 못하고 겉도는 느낌이에요.
외로움,못 섞이고 있어요.
외로움,어딜 가도 잘 못 섞여.
외로움,섞이는 게 힘들어요.
외로움,겉돌게 돼.
외로움,나만 겉도는 것 같아.
외로움,왜 자꾸 겉돌게 되는 건지.
외로움,섞여서 지내는 게 힘들어.
외로움,겉도는 기분이 드네요.
외로움,나 혼자 겉도는 것 같아요.
외로움,혼자 겉도는 기분이 들어요.
분노,화가 나
분노,화가 치밀어 올라
분노,진짜 화 나 
분노,너무 화 나.
분노,화나서 미치겠어.
분노,완전 화 난다.
분노,화가 나는걸 어떡하냐.
분노,화가 솟구쳐.
분노,화가 머리 끝까지 차올라.
분노,화가 머리 끝까지 났어.
분노,화딱지 나.
분노,화 나.
분노,화 난다.
분노,화가 계속 나요.
분노,화가 난다.
분노,화가 나요.
분노,화가 솟구쳐요.
분노,화병 나겠어.
분노,화병 날 것 같아요.
분노,화가 너무 많이 나네요.
분노,화가 나서 미치겠어요.
분노,화를 주체하지 못 하겠어.
분노,화가 나서 미칠 것 같아요.
분노,자꾸 화가 나.
분노,작은 일에도 너무 화가 나
분노,작은 일에도 화를 내
분노,작은 일에도 자꾸 화 나
분노,화남
분노,화났음
분노,내 분노를 조절할 수 없어
분노,원망스럽더라고요
분노,원망해 
분노,원망하게 돼.
분노,원망감이 들더라.
분노,원망하는 마음만 자꾸 든다.
분노,너무 원망스러워.
분노,원망하는 마음이 들더라.
분노,원망하게 되네요.
분노,원망스럽다.
분노,원망스러워요.
분노,원망감이 느껴져요.
분노,원망된다.
분노,자꾸 탓하게 돼.
분노,탓을 하게 되네요.
분노,남 탓을 하게 되네요.
분노,탓하는 마음이 들어.
분노,남 탓하게 되는 느낌이야.
분노,원망이 되는걸 어떡해.
분노,원망이 생기는걸 어떡하냐고.
분노,원망이 싹 터.
분노,원망감이 들어서 괴로워.
분노,화가 치밀어 오르고 불만감이 생겨요.
분노,울분이 터지고 불만이 쌓여가고 있어요.
분노,너무 화나고 불만스러워요.
분노,정말 짜증나고 불만스러워.
분노,울화가 터지고 불만감이 들어.
분노,자꾸 노발대발하게 되고 불만감이 생기는 것 같아요.
분노,솔직히 너무 화나고 불만이 많아요.
분노,자꾸 화가 나고 불만이 많이 생겨.
분노,분노가 솟구치고 불만스러운 마음이 드네.
분노,분노가 치밀고 너무 마음에 안 들어.
분노,너무 화나고 더럽게 마음에 안 들어.
분노,죽여버리고 싶게 마음에 안 들어.
분노,모든 게 다 화가 나고 불만이라고.
분노,화가 자꾸 나고 불만감을 품게 돼.
분노,너무 화나고 불만이 막 생겨요.
분노,분노가 솟구치고 모든 게 마음에 안 차요.
분노,울분이 터질 만큼 마음에 안 들어요.
분노,너무 화나고 마음에 안 드는걸 어떡해.
분노,분노가 폭발할 것 처람 불만이 생기는걸 어떡해.
분노,자꾸 화가 나고 불만감이 커지는 느낌이야.
분노,울분이 터지고 불만스러워.
분노,불만이 많아졌어
분노,미워
분노,미워죽겠어
분노,진짜 미워
분노,밉다.
분노,너무 밉네.
분노,미워요.
분노,미움이 생겨.
분노,미워하는 마음이 들어.
분노,미워하게 돼.
분노,미워졌어.
분노,미워지는 거 있지.
분노,미워지더라고요.
분노,밉더라고.
분노,너무 미웠어.
분노,미운 마음이 들어요.
분노,한대 쥐어 박고 싶었어요.
분노,어찌나 얄미운지.
분노,미운 짓만 골라하는 듯.
분노,미웠어요.
분노,밉게 느껴져.
분노,화가 나지만 불쌍해 보이기도 해.
분노,너무 미운데 때론 마음이 짠해.
분노,너무 화가 나지만 때론 연민이 느껴져.
분노,밉다가도 짠해.
분노,미워 죽겠는데 짠하기도 하더라.
분노,화가 너무 나는데 불쌍한 마음도 들더라.
분노,화가 나다가도 짠한 마음이 들어.
분노,화가 나는데 연민도 느껴져.
분노,화나지만 불쌍한 마음도 들어.
분노,화도 나고 불쌍한 것도 같고.
분노,너무 열 받는데 불쌍해서 더 싫어.
분노,너무 열 받는데 연민이 드는 건 또 뭐야?
분노,열이 차는데 보면 또 불쌍해.
분노,하는 거 보면 빡 치는데 보면 짠하고.
분노,열이 솟구치다가도 보면 짠하고 그래.
분노,분노가 치밀어 오르다가도 보면 짠해.
분노,미워죽겠는데 보면 마음이 짠하더라고.
분노,미워죽겠다가도 보면 연민같은게 느껴져.
분노,미운 마음이 들다가도 보면 짠해.
분노,화가 날 때도 많은데 솔직히 짠해.
분노,분노의 감정이 들어
분노,분노 폭발함
분노,분노가 솟구치네 
분노,완전 분노했어
분노,분노가 흘러 넘친다.
분노,분노가 치밀어 올라.
분노,분노가 치민다.
분노,분노가 치밀어.
분노,분노가 치밀어요.
분노,분노게이지 올라감.
분노,분노 게이지 폭발.
분노,격분하게 돼.
분노,분해서 못 참겠어.
분노,너무 분해서 못 참겠다고.
분노,분노가 밀려와요.
분노,분노 게이지 상승.
분노,분노가 솟구쳐.
분노,분노심이 생겨.
분노,너무 분하고 화가 나요.
분노,격분의 감정이 든다.
분노,불만이야
분노,불만스러워
분노,불만밖에 없어
분노,불만만 가득해요
분노,불평이 많아
분노,불평만 하게 돼요
분노,그거 때문이야
분노,걔 때문이야
분노,그 인간 때문이에요
분노,걔 탓이야
분노,그 사람 탓이에요
분노,그 사람 때문이거든요
분노,증오해
분노,죽여버리고 싶을 정도로 증오해
분노,죽여버리고 싶어.
분노,살인충동 느껴져.
분노,증오감이 생겨.
분노,사무치게 미워.
분노,증오심이 생기더라.
분노,증오하고 있어.
분노,증오스러워.
분노,증오하게 돼.
분노,증오가 생겨.
분노,증오가 끓어 올라.
분노,증오하는 마음이 들어.
분노,정말 죽여버리고 싶더라.
분노,없애버리고 싶어요.
분노,찢어 죽이고 싶어.
분노,질근질근 밟아버리고 싶어.
분노,죽이고 싶어요.
분노,증오심이 커져.
분노,증오하게 된다.
분노,너무 화나고 허망함이 느껴져.
분노,너무 화가 나니까 허망함까지 들더라.
분노,너무 화가 나서 허망한 마음까지 들어.
분노,화가 나고 허망해.
분노,너무 열 받고 모든 게 허망하게 느껴져.
분노,너무 열 받고 허무해.
분노,분노가 솟구치고 너무 허망한 거 있지.
분노,어떻게 나를 이렇게 허무하게 만들지?
분노,너무 화 나서 허무하기까지 해.
분노,너무 화 나고 허망해요.
분노,화가 나고 허무해요.
분노,분노가 허망함으로 바뀌었어.
분노,이렇게 격분하게 되다니 너무 허망해.
분노,모든 게 화가 나고 허망하게 느껴져.
분노,너무 화가 나고 허망하네요.
분노,허망한 인생 너무 화난다.
분노,너무 화가 나서 그저 어이가 없고 허무해.
분노,분노가 치밀어 오르고 너무 허망하게 느껴져.
분노,나를 이렇게까지 허망하게 하다니 너무 화가 나.
분노,감히 나한테 이런 허망감을 안겨주다니.
무기력,흥미를 잃었어
무기력,흥미를 잃음.
무기력,흥미가 없어졌어
무기력,흥미를 전혀 느낄 수 없어 
무기력,흥미 없어.
무기력,흥미가 뚝 떨어짐.
무기력,흥미 제로.
무기력,흥이 안 납니다.
무기력,흥미가 없다.
무기력,흥미 없음.
무기력,흥미가 1도 안 생김.
무기력,흥미 잃음.
무기력,흥미 없다.
무기력,흥미가 없어요.
무기력,흥미라는 게 없다.
무기력,흥미가 사라지는 느낌이야.
무기력,흥미를 가질만한 일이 없네.
무기력,흥미가 안 느껴져.
무기력,아무것도 흥미 없어.
무기력,왜 이렇게 만사 흥미가 없지?
무기력,즐거운 일이 없어요.
무기력,아무것도 즐겁지가 않아.
무기력,좋아하는걸 해도 즐겁지 않아.
무기력,노는 것도 즐겁지 않아.
무기력,즐거운 마음이 안 들어.
무기력,즐거울 일이 없어요.
무기력,어디에서도 즐거움을 찾을 수 없어.
무기력,즐거움이 안 생겨.
무기력,좋아하는 일을 해도 별로 즐겁지 않아.
무기력,인생이 즐겁지가 않아.
무기력,재미있는 일이 없어.
무기력,인생에 재미를 느낄 수가 없어.
무기력,재미 상실.
무기력,즐거움 상실.
무기력,재미있는게 어디에도 없어.
무기력,즐거울 만한 일이 없어요.
무기력,어떻게 재미있는 일이 하나도 없냐?
무기력,세상 만사 재미있는 일이 하나도 없네.
무기력,재미라곤 찾아 볼 수가 없어.
무기력,제 인생에는 즐거울 일이 없어요.
무기력,인생에 즐거움이 없어.
무기력,의욕이 없어
무기력,의욕이 1도 없어
무기력,하고 싶은 마음이 전혀 생기지 않아
무기력,하고픈 마음이 전혀 없어 
무기력,할 욕구가 네버 없음
무기력,아무 의욕이 없음.
무기력,의욕상실 제대로다.
무기력,의욕상실한듯.
무기력,의욕상실.
무기력,의욕이 안 생겨.
무기력,의욕이 없음.
무기력,의욕 제로.
무기력,의욕이라곤 없어.
무기력,의욕이 없다.
무기력,아무것도 하기 싫네.
무기력,무의욕.
무기력,의욕 없다.
무기력,의욕이란게 없어.
무기력,의욕상실이야.
무기력,의욕상실 했어.
무기력,무기력에 빠짐.
무기력,무기력에 빠졌어요.
무기력,무기력증 걸린 것 같네요.
무기력,너무 무기력하네.
무기력,무기력해졌어요.
무기력,아무런 기운이 안 나네요.
무기력,기력이 없다.
무기력,기력이 눈곱만큼도 없어.
무기력,나 너무 무기력해.
무기력,뭔가를 할 기운이 안 나요.
무기력,아무것도 할 기운이 없어.
무기력,아무 힘도 없다.
무기력,아무런 기운도 없다.
무기력,기운이 없네요.
무기력,아무런 힘이 안 나요.
무기력,기운이 안 나네요.
무기력,무기력증에 걸림.
무기력,무기력증인 것 같아요.
무기력,무기력한 상태야.
무기력,항상 무기력해요.
무기력,계속 무기력한 마음이 들어.
무기력,너무 괴롭다.
무기력,괴로워.
무기력,괴로워요.
무기력,나 정말 괴로워.
무기력,현실이 괴롭게 느껴져.
무기력,세상이 너무 괴롭다.
무기력,사는게 지옥이야.
무기력,사는게 괴로워요.
무기력,괴로움에 빠져있어요.
무기력,괴로운 마음이 들어요.
무기력,마음이 너무 고통스럽고 불편해.
무기력,마음이 괴로워.
무기력,괴로워서 미치겠어.
무기력,이런 상황이 너무 괴로워.
무기력,괴로움이 느껴져.
무기력,괴롭다.
무기력,하루하루 너무 괴로워.
무기력,왜 이렇게 괴롭지?
무기력,매일 괴롭다는 생각뿐이야.
무기력,괴롭습니다.
무기력,귀찮은 일만 있는 것 같다.
무기력,다 귀찮다.
무기력,다 귀찮음.
무기력,만사 귀찮다.
무기력,만사가 귀찮아.
무기력,만사 귀찮음.
무기력,다 귀찮다고.
무기력,세상만사 다 귀찮음.
무기력,귀차니즘 도졌어.
무기력,귀차니즘 장난 아냐.
무기력,모든게 성가시게 느껴져요.
무기력,모든게 다 귀찮네요.
무기력,귀찮아.
무기력,귀찮군.
무기력,마음에 안 들고 성가셔.
무기력,그냥 다 귀찮게 느껴져요.
무기력,귀찮게 느껴집니다.
무기력,그냥 모든게 다 귀찮은 것 같아.
무기력,귀찮잖아요.
무기력,뭐든 다 귀찮게 느껴져.
무기력,귀차니즘이 심하네요.
무기력,아무런 낙이 없어.
무기력,낙 없는 인생이야.
무기력,낙이 없다.
무기력,낙이 없는 삶이다.
무기력,낙이 없는 인생.
무기력,삶의 낙이 없네요.
무기력,삶의 낙이 없다.
무기력,인생의 낙이 없어요.
무기력,무슨 낙으로 살지?
무기력,아무 낙이 없거든요.
무기력,아무런 낙이 없는 인생이야.
무기력,낙이 없음.
무기력,사는데 낙이 없는걸요.
무기력,낙이란게 없다.
무기력,무슨 낙으로 살아야 할지 모르겠다.
무기력,나는 왜 인생에 이렇게 낙이 없냐?
무기력,낙이 없구만.
무기력,낙이 없습니다.
무기력,살아갈 낙이 없어요.
무기력,살아가는데 낙이 없네요.
무기력,인생이 허무하고 아무것도 할 기운이 안 생겨.
무기력,허무하고 기운이 안 나요.
무기력,기운도 없고 인생이 무의미하게 느껴져.
무기력,인생이 허무하고 무력감만 느껴져요.
무기력,아무런 힘도 없고 허무한 마음이 많이 들어.
무기력,무기력하고 허무하다.
무기력,허무한 마음이 들고 기운도 없네요.
무기력,기운도 없고 허무해.
무기력,인생이 아무것도 없이 텅 빈 느낌이 들고 무기력하군요.
무기력,아무런 힘도 없고 그저 허무해.
무기력,아무런 힘도 안 나고 허무한 마음만 드네요.
무기력,무기력하고 모든게 다 허무하게 느껴져.
무기력,세상만사 다 허무하고 힘도 안 나요.
무기력,모든게 허무하게 느껴지고 아무것도 할 힘이 안 생겨.
무기력,모든게 다 허무하고 힘이 안 생기네요.
무기력,세상이 허무하게 느껴지고 무기력합니다.
무기력,인생이 허무하게 느껴지고 기운이 안 나.
무기력,너무 허무해서 아무것도 못 하겠어.
무기력,허무해서 아무것도 할 수가 없어요.
무기력,허무한 마음이 들어서 아무것도 할 힘이 안 생겨.
무기력,기운도 없고 우울해요.
무기력,무기력하고 우울해.
무기력,무기력하고 우울한 기분만 들어요.
무기력,기분이 너무 우울하고 무기력하네.
무기력,기분이 우울하고 기운도 없다.
무기력,기분도 꿀꿀하고 기운이라곤 없어.
무기력,기분도 우울한데 기력도 딸려.
무기력,우울하고 기력도 딸리네.
무기력,맨날 우울하고 무기력함.
무기력,매일 우울하고 무기력하네요.
무기력,우울하고 아무것도 감당할 힘이 없어.
무기력,마음도 우울하고 기력도 없어.
무기력,마음이 우울하니까 더 무기력해지는 기분이야.
무기력,마음이 우울해서인지 기력도 안 나는군요.
무기력,기분이 가라 앉고 무기력해.
무기력,기분이 항상 다운되어있고 무기력하네요.
무기력,기분이 자꾸 가라앉고 기력도 안 나네요.
무기력,기분이 축 처지고 기력도 안 납니다.
무기력,기분이 우울하고 무기력한 상태예요.
무기력,마음도 가라앉고 무언가를 할 기운이 안 생겨.
무기력,활동하는게 싫어.
무기력,움직이기 싫어요.
무기력,움직이고 싶은 마음이 없어.
무기력,움직이기 싫어졌어.
무기력,움직이기 싫다.
무기력,활동량이 줄었어.
무기력,아무것도 할 수 없어.
무기력,몸에 힘이 없어서 나가질 못 하겠어.
무기력,가만히 있게 되네.
무기력,아무것도 안 하고 집에만 있게 돼.
무기력,아무것도 안 하고 집에만 있어요.
무기력,집에만 있어.
무기력,계속 집에서만 지내.
무기력,어디 나가기 싫어서 집에만 있어요.
무기력,돌아다니기 싫어서 집에서만 지내.
무기력,돌아다니기 싫어서 집에서만 박혀 지내요.
무기력,움직이기 싫고 그냥 가만히 있고 싶어.
무기력,가만히 있고 싶어요.
무기력,아무것도 안하고 가만히 있게 되네.
무기력,활동을 점점 안 하게 돼.
감정조절이상,사람들이랑 이야기할 때 공감이 안돼.
감정조절이상,감정적으로 마비된 느낌이 있어.
감정조절이상,나는 다른 사람들이랑 너무 다른 것 같아.
감정조절이상,공감이 안돼.
감정조절이상,사람들한테 공감을 못 하겠어.
감정조절이상,대화를 해도 공감을 못 하겠어요.
감정조절이상,혼자만의 생각에 빠지게 돼.
감정조절이상,다른 사람들이 이야기하면 무슨 뜻인지 모르겠어.
감정조절이상,다른 사람들 말의 의미를 이해하기 힘들어.
감정조절이상,감정이 없는 사람 같아요.
감정조절이상,아무런 감정이 안 들어.
감정조절이상,감정이 없는 것 같다.
감정조절이상,난 정말 감정이 없는 인간 같아.
감정조절이상,감정이 마비된 것 같아요.
감정조절이상,감정이 마비된 느낌이야.
감정조절이상,감정이 마비됐어.
감정조절이상,아무 감정 없이 사는 것 같아요.
감정조절이상,감정이 메마른 것 같아요.
감정조절이상,감정이 말라 비틀어졌어.
감정조절이상,감정이 메말랐어.
감정조절이상,독단하게 되네요.
감정조절이상,뭐든 나 혼자 결정해버려요.
감정조절이상,뭐든 나 혼자 결론 짓는게 편해.
감정조절이상,남들하고 상의하는게 싫어.
감정조절이상,그냥 나 혼자 결정해버리는 편이야.
감정조절이상,어차피 전부 말도 안 통하고 나 혼자 결정하는게 편해.
감정조절이상,나 혼자 결정하는게 더 편해요.
감정조절이상,남들과 의논하기 싫어요.
감정조절이상,독단하게 됨.
감정조절이상,저 혼자 결정해버려요.
감정조절이상,독단적인 편이야.
감정조절이상,독단적인 성격이 있어.
감정조절이상,독단적으로 행동할 때가 있어.
감정조절이상,독단적으로 결정할 때가 많아.
감정조절이상,독단적으로 판단할 때가 있어.
감정조절이상,그냥 저 혼자 결정하는게 편하더라고요.
감정조절이상,독단적일 때가 많아.
감정조절이상,내가 좀 독단적이야.
감정조절이상,독단적이야.
감정조절이상,혼자 생각하고 결정하는 편이야.
감정조절이상,마음대로 될 때까지 상대를 억압하게 돼.
감정조절이상,억압하게 되는 것 같아요.
감정조절이상,강압적으로 행동하게 되는 것 같아.
감정조절이상,내 마음대로 상대를 조종하려는 경향이 있어.
감정조절이상,마음에 안 드는 건 용납이 안돼.
감정조절이상,나도 모르게 억압을 하게 돼.
감정조절이상,강압적으로 하게 돼.
감정조절이상,강압적인 부분이 있어.
감정조절이상,억압적으로 행동할 때가 있어.
감정조절이상,요즘 부쩍 강압적인 성격이 된 것 같아요.
감정조절이상,강압적일 때가 있어.
감정조절이상,압력을 가할 때가 있어.
감정조절이상,나도 모르게 압력을 가할 때가 있지.
감정조절이상,무조건 내 마음대로 될 때까지 억압하게 돼.
감정조절이상,내 마음대로 조종을 하는 편이야.
감정조절이상,무언의 압박을 할 때도 많아.
감정조절이상,마음에 안 들면 들 때까지 압력을 넣어.
감정조절이상,상대를 조종하려는 경향이 있어.
감정조절이상,강압적인 성격이야.
감정조절이상,솔직히 좀 강압적인 성격이긴 해.
감정조절이상,나도 모르게 막말이 튀어나올 때가 있어요.
감정조절이상,막말을 하게 되네요.
감정조절이상,막소리를 하게 됨.
감정조절이상,나오는 대로 막 지껄이는 편이야.
감정조절이상,막말이 늘었어.
감정조절이상,나오는 대로 뱉게 돼.
감정조절이상,마음에 안 들면 폭발해서 막말을 하게 돼.
감정조절이상,프로 막말러야.
감정조절이상,막말이 그냥 막 나와.
감정조절이상,입에 필터가 없는 느낌이야.
감정조절이상,필터 없이 막말을 하게 돼.
감정조절이상,나오는 대로 함부로 말을 하게 된다.
감정조절이상,나오는 대로 막 뱉는 편이야.
감정조절이상,남의 기분 따위 생각 안하고 그냥 막 뱉는 성격이야.
감정조절이상,남의 기분은 생각 안하고 그냥 막막을 하게 돼.
감정조절이상,말을 함부로 할 때가 많아요.
감정조절이상,나도 모르게 말을 속되게 할 때가 있다.
감정조절이상,말이 막 나와.
감정조절이상,막말러 된 것 같아.
감정조절이상,자꾸 막막을 하게 됨.
감정조절이상,독선에 빠질 때가 있어.
감정조절이상,독선적이야.
감정조절이상,나 혼자만 옳다는 생각이 들 때가 많아.
감정조절이상,내 말만 맞는것 같아.
감정조절이상,독선적인 성향이 있어요.
감정조절이상,내 말이 항상 옳다고 생각하는 편이야.
감정조절이상,남들이 하는 말은 말 같지도 않게 느껴져.
감정조절이상,독선적일 때가 많아요.
감정조절이상,내 말만 옳은 것 같아요.
감정조절이상,내 말만 맞다고 생각하고 행동할 때가 많아.
감정조절이상,독선적이란 얘기를 많이 들어.
감정조절이상,독선적이라는 평가를 받을 때가 많아.
감정조절이상,내가 생각해도 좀 독선적인 구석이 있어.
감정조절이상,독선에 빠진 것 같아.
감정조절이상,내 말만 맞고 내 행동만 옳다는 생각이 들어.
감정조절이상,남의 이야기는 같잖게 느껴져.
감정조절이상,남의 말은 귓등으로 듣고 내 마음대로 행동하게 돼.
감정조절이상,남의 말은 귓등으로 들어.
감정조절이상,솔직히 남의 말은 말 같지도 않게 느껴져.
감정조절이상,독선적이긴 해요.
감정조절이상,성격 때문인지 사람들과 갈등이 많은 편이야.
감정조절이상,부쩍 사람들과의 갈등이 잦아졌어.
감정조절이상,갈등이 생긴 것 같아요.
감정조절이상,갈등이 잦은 편이야.
감정조절이상,사람들과 의견이 안 맞을 때가 많아요.
감정조절이상,다른 사람과 의견 조율이 안 될 때가 많다.
감정조절이상,갈등상태야.
감정조절이상,모든 사람들과 갈등이 있어.
감정조절이상,갈등하게 돼.
감정조절이상,주변 사람들이랑 갈등이 있어.
감정조절이상,별것도 아닌 일로 갈등을 빚을 때가 있어.
감정조절이상,갈등이 빚어졌어.
감정조절이상,갈등을 빚을 때가 있어.
감정조절이상,갈등이 잦아졌어요.
감정조절이상,갈등이 안 생기는 사람이 없다.
감정조절이상,의견대립이 생길 때가 많아.
감정조절이상,대립할 일이 항상 많은 것 같아.
감정조절이상,다른 사람들과 대립할 때가 많아.
감정조절이상,대립 관계가 많아.
감정조절이상,의견이 안 맞아서 대립할 때가 좀 있어.
식욕저하,요새는 배가 안 고파
식욕저하,식욕이 없어졌어요
식욕저하,식욕이 없어졌어
식욕저하,식욕이 없어
식욕저하,식욕이 없다
식욕저하,식욕이 없네
식욕저하,식욕이 떨어짐
식욕저하,식욕이 떨어진 것 같아
식욕저하,식욕이 떨어졌어
식욕저하,식욕을 잃었어
식욕저하,식욕을 잃었나 봐
식욕저하,식욕 떨어졌음
식욕저하,별로 먹고 싶진 않아
식욕저하,별로 먹고 싶지는 않은데
식욕저하,별로 먹고 싶은 생각이 없어
식욕저하,별로 먹고 싶다는 생각이 안 들었어
식욕저하,배가 고프거나 하지 않아
식욕저하,뭔가를 먹고 싶지가 않네
식욕저하,먹을 게 보여도 안 먹고 싶어
식욕저하,딱히 먹고 싶지는 않아
식욕저하,식욕이 안 생겨
식욕저하,식욕이 생기지 않아
식욕저하,식욕이 안 들어
식욕저하,식욕이 들지 않아
식욕저하,식욕이 안 돌아
식욕저하,식욕이 돌지 않아
식욕저하,체중이 빠지더라
식욕저하,체중이 빠졌어
식욕저하,체중이 빠져
식욕저하,체중은 빠졌어
식욕저하,잘 안 챙겨먹으니까 살 빠졌어
식욕저하,잘 안 챙겨먹으니까 몸무게가 감소하는 것 같아
식욕저하,잘 안 먹으니까 살이 빠졌어
식욕저하,잘 안 먹었더니 몸무게가 줄었어
식욕저하,입맛이 없으니까 살 빠지는 중
식욕저하,요새 통 안 먹어서 몸무게가 줄었어요
식욕저하,요새 입맛도 없고 살도 빠지고 그래
식욕저하,식욕이 없으니까 살이 빠져
식욕저하,식욕을 잃으니까 살이 빠짐
식욕저하,몸무게가 줄었어요
식욕저하,몸무게가 줄었어
식욕저하,몸무게가 줄었더라
식욕저하,몸무게가 줄고 있어
식욕저하,몸무게가 줄고 있는 것 같아
식욕저하,몸무게가 준 것 같아
식욕저하,매일 끼니를 먹다가 안 먹다가 해서 살이 빠졌어요
식욕저하,체중이 줄어버린 것 같아
식욕저하,체중이 줄어든 것 같아
식욕저하,체중이 줄어버렸어
식욕저하,살 빠졌어
식욕저하,살 빠져버린 것 같아
식욕저하,요새 통 입맛이 없음
식욕저하,입맛을 잃었음
식욕저하,입맛을 잃었어요
식욕저하,입맛이 없어
식욕저하,밥을 별로 먹고 싶지 않아
식욕저하,밥 생각이 안 나
식욕저하,입맛이 떨어졌어
식욕저하,입맛 떨어짐
식욕저하,입맛이 없다
식욕저하,입맛이 없네
식욕저하,입맛 떨어졌다
식욕저하,입맛이 그냥 떨어져
식욕저하,안 먹고 싶어
식욕저하,먹고 싶지가 않아
식욕저하,음식 생각이 딱히 없어
식욕저하,뭔가를 먹고 싶지 않은 것 같아
식욕저하,입맛이 별로 없는 것 같아
식욕저하,식욕 없음
식욕저하,식욕이 없어요
식욕저하,그냥 먹고 싶지가 않아
식욕저하,밥을 먹어야겠단 생각이 안 들어
식욕저하,밥맛이 없어
식욕저하,밥맛이 안 들어요
식욕저하,밥맛이 생기질 않아
식욕저하,밥맛이 안 생기네
식욕저하,밥맛 떨어진다
식욕저하,살이 빠졌어
식욕저하,살이 빠져
식욕저하,살 빠짐
식욕저하,이유 없이 살이 빠졌어
식욕저하,자꾸 살이 빠지네
식욕저하,살이 많이 빠졌어
식욕저하,살 빠지고 있어
식욕저하,살이 빠지고 있어요
식욕저하,살이 빠지는 것 같아
식욕저하,살 빠지는 중
식욕저하,살 빠지고 있어요
식욕저하,체중이 줄었어
식욕저하,체중이 줄고 있어
식욕저하,체중이 줄고 있어요
식욕저하,몸무게가 줄어든 것 같아
식욕저하,몸무게가 줄었다
식욕저하,살이 빠진 거야
식욕저하,살이 빠졌다
식욕저하,살이 빠졌다니까
식욕저하,턱 선이 보여
식욕저하,똥배가 사라졌어
식욕저하,몸무게가 빠졌어
식욕저하,몸무게가 빠진 것 같아
식욕저하,하루에 한 끼 먹어
식욕저하,한 끼에 반 공기 정도 먹어
식욕저하,먹는 게 줄었어
식욕저하,먹는 게 준 것 같아
식욕저하,먹는 게 줄었음
식욕저하,예전보다 식사량이 줄었어
식욕저하,식사량이 줄었어
식욕저하,밥을 조금 먹어
식욕저하,밥을 조금만 먹게 돼
식욕저하,먹는 양이 줄었어요
식욕저하,먹는 게 엄청 줄었어
식욕저하,먹는 양이 엄청 준 것 같아
식욕저하,먹는 양이 엄청 줄은 것 같아요
식욕저하,한 공기를 다 못 먹게 됐어
식욕저하,요새는 조금만 먹어도 배가 불러
식욕저하,먹는 양이 준 것 같아
식욕저하,예전보다 적게 먹어
식욕저하,예전보다 적게 먹는 것 같아
식욕저하,예전보다 훨씬 조금 먹어
식욕저하,옛날보다 훨씬 적게 먹는 것 같아
식욕저하,입맛도 없고 무기력해
식욕저하,밥맛도 없는데 힘까지 안 난다
식욕저하,밥맛도 없고 기운도 없네요
식욕저하,식욕도 없고 무기력하다
식욕저하,식욕도 떨어지고 기력도 없어
식욕저하,식욕도 없는데 힘도 안 나네
식욕저하,밥 먹는 게 너무 귀찮아
